epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,513.772,0.79385,1.21478,1.15836,0.57583,0.48993,0.52961,0.3705,1.35147,1.81347,1.74161,0.000234099,0.000234099,0.000234099
32,529.859,0.77891,1.20599,1.15474,0.65218,0.40749,0.4979,0.35246,1.42023,1.97068,1.823,0.000230802,0.000230802,0.000230802
33,546.108,0.77379,1.17667,1.15453,0.60561,0.55458,0.57005,0.39991,1.3678,1.65588,1.79968,0.000227506,0.000227506,0.000227506
34,562.934,0.76039,1.16936,1.14704,0.79662,0.50094,0.58442,0.42862,1.26531,1.62016,1.69933,0.000224209,0.000224209,0.000224209
35,579.463,0.75357,1.13885,1.1295,0.61548,0.54484,0.62595,0.44115,1.35204,1.48181,1.74554,0.000220912,0.000220912,0.000220912
36,595.551,0.73941,1.12661,1.13659,0.74895,0.42203,0.55476,0.40639,1.30519,1.76898,1.69175,0.000217616,0.000217616,0.000217616
37,611.716,0.72709,1.10398,1.13254,0.61037,0.50717,0.56608,0.41497,1.25814,1.55771,1.67507,0.000214319,0.000214319,0.000214319
38,627.763,0.72002,1.05013,1.11629,0.65256,0.51021,0.59521,0.45187,1.24027,1.42388,1.69257,0.000211022,0.000211022,0.000211022
39,643.739,0.73562,1.09971,1.12795,0.56323,0.55577,0.59399,0.44091,1.29609,1.45447,1.76544,0.000207725,0.000207725,0.000207725
40,659.874,0.71928,1.03092,1.10526,0.66892,0.43239,0.54532,0.40591,1.31873,1.72582,1.74348,0.000204429,0.000204429,0.000204429
41,676.322,0.71491,1.03006,1.11739,0.72015,0.49374,0.58215,0.42887,1.31159,1.47083,1.73273,0.000201132,0.000201132,0.000201132
42,693.072,0.68735,0.99433,1.09386,0.62652,0.54091,0.58221,0.40731,1.34118,1.57802,1.80217,0.000197835,0.000197835,0.000197835
43,709.303,0.69866,1.00308,1.09235,0.68479,0.51248,0.60542,0.45537,1.29294,1.54036,1.7314,0.000194539,0.000194539,0.000194539
44,725.343,0.68173,0.95717,1.09188,0.74458,0.53975,0.64022,0.48162,1.2415,1.36907,1.65634,0.000191242,0.000191242,0.000191242
45,741.438,0.71167,0.97538,1.10927,0.69155,0.5483,0.61941,0.46623,1.25875,1.49029,1.65922,0.000187945,0.000187945,0.000187945
46,757.649,0.6758,0.9374,1.08208,0.52474,0.55495,0.58247,0.42929,1.29909,1.64075,1.69379,0.000184649,0.000184649,0.000184649
47,773.727,0.66413,0.90958,1.07848,0.65959,0.56939,0.64672,0.46602,1.31989,1.40826,1.7238,0.000181352,0.000181352,0.000181352
48,789.72,0.67338,0.92538,1.0928,0.57052,0.5775,0.63282,0.45899,1.26055,1.67706,1.66556,0.000178055,0.000178055,0.000178055
49,806.524,0.66354,0.90996,1.08069,0.6962,0.53276,0.61997,0.44997,1.30329,1.48878,1.73345,0.000174758,0.000174758,0.000174758
50,823.376,0.65685,0.90285,1.0808,0.62077,0.48804,0.58293,0.44549,1.30179,1.64388,1.72898,0.000171462,0.000171462,0.000171462
51,839.361,0.63521,0.89572,1.07982,0.70739,0.51314,0.60798,0.4555,1.27876,1.48034,1.69316,0.000168165,0.000168165,0.000168165
52,855.369,0.65479,0.86536,1.06606,0.75498,0.55889,0.63524,0.46764,1.23651,1.44906,1.65501,0.000164868,0.000164868,0.000164868
53,871.629,0.64953,0.85409,1.06938,0.64121,0.54265,0.61239,0.46754,1.2417,1.54439,1.68181,0.000161572,0.000161572,0.000161572
54,887.928,0.67181,0.90531,1.0895,0.57851,0.53253,0.61331,0.46491,1.27505,1.55801,1.74098,0.000158275,0.000158275,0.000158275
55,904.275,0.63692,0.84126,1.05838,0.60921,0.57472,0.61449,0.46882,1.2805,1.46305,1.76179,0.000154978,0.000154978,0.000154978
56,920.842,0.61682,0.83182,1.05008,0.66604,0.459,0.58401,0.4514,1.2546,1.51791,1.67631,0.000151682,0.000151682,0.000151682
57,938.568,0.61679,0.83381,1.05657,0.67546,0.50312,0.60535,0.45185,1.25974,1.54765,1.70725,0.000148385,0.000148385,0.000148385
58,955.069,0.6309,0.81764,1.06049,0.65342,0.54246,0.61145,0.45865,1.24044,1.477,1.71394,0.000145088,0.000145088,0.000145088
59,971.522,0.59925,0.7761,1.04036,0.66736,0.50655,0.60964,0.45096,1.26797,1.64605,1.70091,0.000141791,0.000141791,0.000141791
60,987.955,0.59531,0.79496,1.041,0.69365,0.49604,0.60032,0.44568,1.26404,1.40354,1.69402,0.000138495,0.000138495,0.000138495
61,1004.56,0.607,0.78668,1.05068,0.75671,0.4582,0.62613,0.47612,1.22875,1.42106,1.67491,0.000135198,0.000135198,0.000135198
62,1021.4,0.57843,0.73621,1.02914,0.64228,0.55478,0.60012,0.45458,1.24531,1.39875,1.71963,0.000131901,0.000131901,0.000131901
63,1038.8,0.59776,0.77995,1.04834,0.75449,0.49307,0.622,0.46644,1.23641,1.41515,1.70818,0.000128605,0.000128605,0.000128605
64,1055.58,0.5835,0.77579,1.04288,0.56606,0.58673,0.60339,0.44283,1.28018,1.47298,1.73028,0.000125308,0.000125308,0.000125308
65,1072.49,0.58319,0.75471,1.03653,0.59842,0.5633,0.60543,0.44941,1.26602,1.44184,1.72474,0.000122011,0.000122011,0.000122011
66,1089.03,0.57328,0.74309,1.03419,0.64543,0.53272,0.58877,0.43351,1.24583,1.49986,1.66973,0.000118714,0.000118714,0.000118714
67,1105.37,0.5704,0.72291,1.01774,0.65338,0.5666,0.61636,0.47695,1.25171,1.53938,1.68852,0.000115418,0.000115418,0.000115418
68,1122.44,0.57778,0.7384,1.02729,0.57947,0.57935,0.64185,0.4824,1.24727,1.4165,1.75056,0.000112121,0.000112121,0.000112121
69,1140.76,0.55428,0.69523,1.0221,0.60455,0.57311,0.61999,0.48334,1.24688,1.36687,1.76767,0.000108824,0.000108824,0.000108824
70,1157.34,0.56338,0.71694,1.01699,0.66251,0.57237,0.63067,0.47373,1.25363,1.2905,1.80564,0.000105528,0.000105528,0.000105528
71,1173.98,0.55974,0.70794,1.0246,0.5846,0.59026,0.61208,0.46161,1.23181,1.51124,1.73092,0.000102231,0.000102231,0.000102231
72,1190.7,0.5399,0.6915,1.01527,0.72675,0.49068,0.60679,0.4644,1.22306,1.40687,1.70631,9.89343e-05,9.89343e-05,9.89343e-05
73,1207.47,0.57789,0.71123,1.0399,0.74935,0.49117,0.62413,0.4756,1.24297,1.42036,1.72128,9.56376e-05,9.56376e-05,9.56376e-05
74,1224.33,0.54606,0.67478,1.01549,0.70068,0.55883,0.63128,0.46366,1.28229,1.42798,1.73603,9.23409e-05,9.23409e-05,9.23409e-05
75,1242.17,0.54971,0.70271,1.01965,0.69585,0.52096,0.63166,0.48359,1.23773,1.44376,1.67872,8.90442e-05,8.90442e-05,8.90442e-05
76,1258.99,0.55227,0.70054,1.02518,0.68504,0.51415,0.614,0.47867,1.24618,1.49492,1.67684,8.57475e-05,8.57475e-05,8.57475e-05
77,1275.62,0.53312,0.67165,1.00517,0.59686,0.59128,0.61103,0.46887,1.25774,1.4608,1.73833,8.24508e-05,8.24508e-05,8.24508e-05
78,1292.17,0.53972,0.67201,1.01071,0.57719,0.58935,0.61743,0.48903,1.21133,1.42083,1.69902,7.91541e-05,7.91541e-05,7.91541e-05
79,1308.8,0.529,0.665,1.01107,0.75553,0.50998,0.62504,0.48937,1.2688,1.39974,1.75186,7.58574e-05,7.58574e-05,7.58574e-05
80,1325.72,0.53437,0.67148,1.00927,0.63114,0.55354,0.63866,0.49984,1.25775,1.51114,1.70524,7.25607e-05,7.25607e-05,7.25607e-05
81,1343.44,0.51458,0.65022,0.99746,0.71466,0.52792,0.63658,0.50093,1.25117,1.42579,1.73911,6.9264e-05,6.9264e-05,6.9264e-05
82,1360.7,0.52663,0.64853,0.99931,0.66107,0.56724,0.6286,0.49737,1.21586,1.37512,1.72631,6.59673e-05,6.59673e-05,6.59673e-05
83,1377.26,0.53116,0.64929,1.00636,0.68921,0.51567,0.63295,0.48601,1.22188,1.40277,1.7034,6.26706e-05,6.26706e-05,6.26706e-05
84,1393.92,0.52228,0.65793,1.00404,0.69607,0.51791,0.63319,0.50596,1.19828,1.37362,1.68611,5.93739e-05,5.93739e-05,5.93739e-05
85,1410.59,0.49549,0.64242,0.98825,0.71189,0.53302,0.6376,0.50618,1.22632,1.4031,1.73189,5.60772e-05,5.60772e-05,5.60772e-05
86,1427.79,0.51173,0.63,0.99231,0.60431,0.60338,0.63491,0.50196,1.22392,1.37564,1.72917,5.27805e-05,5.27805e-05,5.27805e-05
87,1446.11,0.51776,0.63917,1.00147,0.70488,0.50965,0.61409,0.49672,1.18896,1.43343,1.67471,4.94838e-05,4.94838e-05,4.94838e-05
88,1462.94,0.50912,0.61508,0.99052,0.69096,0.51783,0.61609,0.48208,1.23062,1.4122,1.73012,4.61871e-05,4.61871e-05,4.61871e-05
89,1479.86,0.50351,0.62515,0.99915,0.76984,0.48703,0.62618,0.48813,1.23418,1.46811,1.71929,4.28904e-05,4.28904e-05,4.28904e-05
90,1496.53,0.50069,0.62054,0.99222,0.62469,0.54519,0.61418,0.49004,1.20616,1.45559,1.71272,3.95937e-05,3.95937e-05,3.95937e-05
91,1514.51,0.4461,0.6439,0.97229,0.74539,0.46358,0.61453,0.48288,1.27134,1.53899,1.76551,3.6297e-05,3.6297e-05,3.6297e-05
92,1531.49,0.4169,0.58967,0.95339,0.62124,0.56689,0.62423,0.47565,1.23378,1.44034,1.75195,3.30003e-05,3.30003e-05,3.30003e-05
93,1547.57,0.40691,0.57209,0.94941,0.58928,0.59808,0.62858,0.47176,1.23014,1.39462,1.77516,2.97036e-05,2.97036e-05,2.97036e-05
94,1563.66,0.38824,0.55003,0.93397,0.60929,0.5783,0.62431,0.48872,1.24478,1.40942,1.78142,2.64069e-05,2.64069e-05,2.64069e-05
95,1579.46,0.38159,0.53744,0.93551,0.57416,0.62149,0.63649,0.4887,1.23443,1.41474,1.75693,2.31102e-05,2.31102e-05,2.31102e-05
96,1595.58,0.37165,0.52365,0.92533,0.58342,0.62345,0.62888,0.48489,1.23891,1.41205,1.7714,1.98135e-05,1.98135e-05,1.98135e-05
97,1611.47,0.37432,0.50418,0.92081,0.62632,0.5859,0.63922,0.48213,1.24413,1.38189,1.7915,1.65168e-05,1.65168e-05,1.65168e-05
98,1627.58,0.37108,0.52884,0.92399,0.59501,0.62425,0.64015,0.48594,1.24919,1.37648,1.79929,1.32201e-05,1.32201e-05,1.32201e-05
99,1643.14,0.36879,0.49636,0.90954,0.59812,0.62166,0.64023,0.48522,1.24612,1.3702,1.79277,9.9234e-06,9.9234e-06,9.9234e-06
100,1658.96,0.36969,0.51194,0.92199,0.60317,0.60203,0.64068,0.49336,1.22618,1.387,1.76951,6.6267e-06,6.6267e-06,6.6267e-06
